I
1000 Generated by WorldEditor

1    154 1 0 EGAB Enniskillen St Angelo
100 29.87 1 1 0.00 0 0 1 15  54.40326923 -007.65832147  106    0 4 0 0 1 33  54.39388900 -007.64500000  239    0 4 0 0 1
110 1 0.00 120.0000 New Taxiway 52
111  54.39761078 -007.64865421
111  54.39599607 -007.64635267
111  54.39601285 -007.64627196
113  54.39770394 -007.64863447
110 1 0.00 120.0000 New Taxiway 51
111  54.39538605 -007.64668246
112  54.39565035 -007.64653568  54.39572419 -007.64635695
111  54.39580810 -007.64620129
112  54.39578125 -007.64593181  54.39572755 -007.64582804
111  54.39561342 -007.64571274
111  54.39545902 -007.64554555
111  54.39549930 -007.64547060
111  54.39566377 -007.64568968
112  54.39569398 -007.64557437  54.39566042 -007.64547636
111  54.39561678 -007.64536683
111  54.39579468 -007.64552825
111  54.39579468 -007.64575886
111  54.39601285 -007.64627196
111  54.39599607 -007.64635267
111  54.39593565 -007.64629502
112  54.39583831 -007.64656598  54.39579132 -007.64675624
114  54.39570080 -007.64712553  54.39581156 -007.64732155
110 1 0.00 120.0000 New Taxiway 17
111  54.39710247 -007.64913437
112  54.39731593 -007.64900720  54.39741421 -007.64884606
111  54.39761078 -007.64865421
112  54.39778948 -007.64873095  54.39791011 -007.64892279
111  54.39947138 -007.65124656
112  54.39996172 -007.65174012  54.40002875 -007.65180592
111  54.40265636 -007.65543583
112  54.40290268 -007.65647082  54.40278376 -007.65711158
112  54.40281796 -007.65723230  54.40286661 -007.65734373
111  54.40253100 -007.65683074
111  54.40275673 -007.65636867
112  54.40261618 -007.65562577  54.40232427 -007.65521717
111  54.39999243 -007.65196384
112  54.39951078 -007.65158590  54.39936212 -007.65149397
111  54.39853455 -007.65017233
111  54.39814191 -007.64934985
111  54.39773012 -007.64879056
112  54.39752901 -007.64897150  54.39741409 -007.64918535
114  54.39752901 -007.64971781  54.39767871 -007.65006021
110 2 0.00 120.0000 New Taxiway 16
111  54.39351541 -007.64312775
111  54.39478289 -007.64414668
111  54.39464425 -007.64481695
111  54.39457215 -007.64554411
111  54.39405896 -007.64480067
111  54.39416762 -007.64456329
113  54.39335295 -007.64349991
110 2 0.00 120.0000 New Taxiway 15
111  54.39380386 -007.64518042
111  54.39361041 -007.64487307
111  54.39365697 -007.64473785
111  54.39318336 -007.64409320
111  54.39335634 -007.64373113
113  54.39401845 -007.64473569
110 1 0.00 120.0000 New Taxiway 14
111  54.39230346 -007.64768306
112  54.39204071 -007.64644525  54.39194689 -007.64596186
111  54.39208985 -007.64590047
111  54.39266152 -007.64483038
111  54.39351929 -007.64295814
111  54.39437705 -007.64372545
111  54.39435782 -007.64381462
111  54.39351541 -007.64312775
111  54.39335295 -007.64349991
111  54.39312404 -007.64400721
112  54.39233056 -007.64563746  54.39207882 -007.64602371
111  54.39211575 -007.64645128
113  54.39237104 -007.64756892
110 3 0.00 120.0000 New Taxiway 13
111  54.39264113 -007.64810789
111  54.39233192 -007.64862874
111  54.39192025 -007.64927919
111  54.39164773 -007.64874976
113  54.39237104 -007.64756892
110 2 0.00 120.0000 New Taxiway 12
111  54.39422858 -007.64592268
112  54.39385087 -007.64609010  54.39368841 -007.64641795
111  54.39337162 -007.64689927
111  54.39264113 -007.64810789
111  54.39237104 -007.64756892
113  54.39376003 -007.64526824
110 2 0.00 120.0000 New Taxiway 9
111  54.39658309 -007.65060521
111  54.39587661 -007.64961620
112  54.39569200 -007.64963926  54.39559802 -007.64982951
111  54.39552753 -007.64989293
111  54.39543691 -007.64974303
111  54.39567522 -007.64939711
111  54.39453326 -007.64770941
